A1, FD20024619, 1d_rackid_1, SA00826894
A2, FD20024698, 1d_rackid_1, SA00826894
A3, FD20024711, 1d_rackid_1, SA00826894
A4, NO READ, 1d_rackid_1, SA00826894
A5, NO READ, 1d_rackid_1, SA00826894
A6, NO READ, 1d_rackid_1, SA00826894
A7, NO READ, 1d_rackid_1, SA00826894
A8, NO READ, 1d_rackid_1, SA00826894
A9, NO READ, 1d_rackid_1, SA00826894
A10, NO READ, 1d_rackid_1, SA00826894
A11, NO READ, 1d_rackid_1, SA00826894
A12, NO READ, 1d_rackid_1, SA00826894
B1, NO READ, 1d_rackid_1, SA00826894
B2, NO READ, 1d_rackid_1, SA00826894
B3, NO READ, 1d_rackid_1, SA00826894
B4, NO READ, 1d_rackid_1, SA00826894
B5, NO READ, 1d_rackid_1, SA00826894
B6, NO READ, 1d_rackid_1, SA00826894
B7, NO READ, 1d_rackid_1, SA00826894
B8, NO READ, 1d_rackid_1, SA00826894
B9, NO READ, 1d_rackid_1, SA00826894
B10, NO READ, 1d_rackid_1, SA00826894
B11, NO READ, 1d_rackid_1, SA00826894
B12, NO READ, 1d_rackid_1, SA00826894
C1, NO READ, 1d_rackid_1, SA00826894
C2, NO READ, 1d_rackid_1, SA00826894
C3, NO READ, 1d_rackid_1, SA00826894
C4, NO READ, 1d_rackid_1, SA00826894
C5, NO READ, 1d_rackid_1, SA00826894
C6, NO READ, 1d_rackid_1, SA00826894
C7, NO READ, 1d_rackid_1, SA00826894
C8, NO READ, 1d_rackid_1, SA00826894
C9, NO READ, 1d_rackid_1, SA00826894
C10, NO READ, 1d_rackid_1, SA00826894
C11, NO READ, 1d_rackid_1, SA00826894
C12, NO READ, 1d_rackid_1, SA00826894
D1, NO READ, 1d_rackid_1, SA00826894
D2, NO READ, 1d_rackid_1, SA00826894
D3, NO READ, 1d_rackid_1, SA00826894
D4, NO READ, 1d_rackid_1, SA00826894
D5, NO READ, 1d_rackid_1, SA00826894
D6, NO READ, 1d_rackid_1, SA00826894
D7, NO READ, 1d_rackid_1, SA00826894
D8, NO READ, 1d_rackid_1, SA00826894
D9, NO READ, 1d_rackid_1, SA00826894
D10, NO READ, 1d_rackid_1, SA00826894
D11, NO READ, 1d_rackid_1, SA00826894
D12, NO READ, 1d_rackid_1, SA00826894
E1, NO READ, 1d_rackid_1, SA00826894
E2, NO READ, 1d_rackid_1, SA00826894
E3, NO READ, 1d_rackid_1, SA00826894
E4, NO READ, 1d_rackid_1, SA00826894
E5, NO READ, 1d_rackid_1, SA00826894
E6, NO READ, 1d_rackid_1, SA00826894
E7, NO READ, 1d_rackid_1, SA00826894
E8, NO READ, 1d_rackid_1, SA00826894
E9, NO READ, 1d_rackid_1, SA00826894
E10, NO READ, 1d_rackid_1, SA00826894
E11, NO READ, 1d_rackid_1, SA00826894
E12, NO READ, 1d_rackid_1, SA00826894
F1, NO READ, 1d_rackid_1, SA00826894
F2, NO READ, 1d_rackid_1, SA00826894
F3, NO READ, 1d_rackid_1, SA00826894
F4, NO READ, 1d_rackid_1, SA00826894
F5, NO READ, 1d_rackid_1, SA00826894
F6, NO READ, 1d_rackid_1, SA00826894
F7, NO READ, 1d_rackid_1, SA00826894
F8, NO READ, 1d_rackid_1, SA00826894
F9, NO READ, 1d_rackid_1, SA00826894
F10, NO READ, 1d_rackid_1, SA00826894
F11, NO READ, 1d_rackid_1, SA00826894
F12, NO READ, 1d_rackid_1, SA00826894
G1, NO READ, 1d_rackid_1, SA00826894
G2, NO READ, 1d_rackid_1, SA00826894
G3, NO READ, 1d_rackid_1, SA00826894
G4, NO READ, 1d_rackid_1, SA00826894
G5, NO READ, 1d_rackid_1, SA00826894
G6, NO READ, 1d_rackid_1, SA00826894
G7, NO READ, 1d_rackid_1, SA00826894
G8, NO READ, 1d_rackid_1, SA00826894
G9, NO READ, 1d_rackid_1, SA00826894
G10, NO READ, 1d_rackid_1, SA00826894
G11, NO READ, 1d_rackid_1, SA00826894
G12, NO READ, 1d_rackid_1, SA00826894
H1, NO READ, 1d_rackid_1, SA00826894
H2, NO READ, 1d_rackid_1, SA00826894
H3, NO READ, 1d_rackid_1, SA00826894
H4, NO READ, 1d_rackid_1, SA00826894
H5, NO READ, 1d_rackid_1, SA00826894
H6, NO READ, 1d_rackid_1, SA00826894
H7, NO READ, 1d_rackid_1, SA00826894
H8, NO READ, 1d_rackid_1, SA00826894
H9, NO READ, 1d_rackid_1, SA00826894
H10, NO READ, 1d_rackid_1, SA00826894
H11, NO READ, 1d_rackid_1, SA00826894
H12, NO READ, 1d_rackid_1, SA00826894
